A̱o,cei10,Casos
2016,F00-F09,860917
2016,F10-F19,2800724
2016,F20-29,746744
2016,F30-39,4600910
2016,F40-49,6357644
2016,F50-59,46449
2016,F60-69,270757
2016,F70-79,58653
2016,F80-89,159802
2016,F90-F98,503889
2016,F99,223481
2017,F00-F09,940859
2017,F10-F19,3298502
2017,F20-29,895746
2017,F30-39,4977250
2017,F40-49,6767184
2017,F50-59,48167
2017,F60-69,302889
2017,F70-79,65004
2017,F80-89,182708
2017,F90-F98,546121
2017,F99,260046
2018,F00-F09,989095
2018,F10-F19,3412496
2018,F20-29,667326
2018,F30-39,5133110
2018,F40-49,7095342
2018,F50-59,47593
2018,F60-69,298585
2018,F70-79,67132
2018,F80-89,197454
2018,F90-F98,572097
2018,F99,290677
2019,F00-F09,1082921
2019,F10-F19,3725778
2019,F20-29,700316
2019,F30-39,5370242
2019,F40-49,7421371
2019,F50-59,51246
2019,F60-69,326309
2019,F70-79,68547
2019,F80-89,223547
2019,F90-F98,594113
2019,F99,324510
